DATETIME,Cortez-Jones Creek/Marine 138 KV (LPI_GEN_EARLY),HOURENDING,MARKETDAY,PEAKTYPE,MONTH,YEAR
03/21/2024 00:05:00,-223.2,1,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 00:10:00,-223.4,1,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 00:15:00,-229,1,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 00:20:00,-217.666667,1,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 00:25:00,-222.8,1,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 00:30:00,-224.75,1,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 00:35:00,-224.2,1,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 00:40:00,-223,1,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 00:45:00,-221.25,1,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 00:50:00,-219.8,1,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 00:55:00,-218.2,1,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 01:00:00,-218,1,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 01:05:00,-212.6,2,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 01:10:00,-215.6,2,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 01:15:00,-217.2,2,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 01:20:00,-212.4,2,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 01:25:00,-217.4,2,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 01:30:00,-214.4,2,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 01:35:00,-219.4,2,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 01:40:00,-210.6,2,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 01:45:00,-212.5,2,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 01:50:00,-210.666667,2,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 01:55:00,-208.8,2,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 02:00:00,-213.75,2,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 02:05:00,-207,3,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 02:10:00,-200,3,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 02:15:00,-198.8,3,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 02:20:00,-201,3,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 02:25:00,-196.75,3,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 02:30:00,-199,3,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 02:35:00,-193,3,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 02:40:00,-187.25,3,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 02:45:00,-185.6,3,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 02:50:00,-178,3,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 02:55:00,-173.75,3,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 03:00:00,-171,3,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 03:05:00,-171.75,4,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 03:10:00,-175,4,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 03:15:00,-179.333333,4,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 03:20:00,-189.25,4,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 03:25:00,-178.4,4,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 03:30:00,-181.4,4,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 03:35:00,-175.333333,4,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 03:40:00,-172.2,4,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 03:45:00,-173,4,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 03:50:00,-171.8,4,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 03:55:00,-172.75,4,03/21/2024,OFFPEAK,MARCH,2024
03/21/2024 04:00:00,-174.333333,4,03/21/2024,OFFPEAK,MARCH,2024
